Date,Open,High,Low,Close,Volume
1/2/2019 16:00:00,128.99,137.51,128.56,135.68,28146193
1/3/2019 16:00:00,134.69,137.17,131.12,131.74,22717948
1/4/2019 16:00:00,134.01,138,133.75,137.95,29002059
1/7/2019 16:00:00,137.56,138.87,135.91,138.05,20089337
1/8/2019 16:00:00,139.89,143.14,139.54,142.53,26263793
1/9/2019 16:00:00,142.95,144.7,141.27,144.23,22205879
1/10/2019 16:00:00,143.08,144.56,140.84,144.2,16125004
1/11/2019 16:00:00,143.15,145.36,142.57,143.8,12908031
1/14/2019 16:00:00,142,146.57,141.27,145.39,20520278
1/15/2019 16:00:00,146.01,150.68,145.99,148.95,24068822
1/16/2019 16:00:00,149,149.65,147,147.54,18025714
1/17/2019 16:00:00,146.95,149,146.5,148.3,15787914
1/18/2019 16:00:00,149.75,152.43,148.55,150.04,31029612
1/22/2019 16:00:00,149.2,151.53,146.37,147.57,22378694
1/23/2019 16:00:00,148.28,148.8,143.06,144.3,20098415
1/24/2019 16:00:00,144.64,146.44,142.52,145.83,20955518
1/25/2019 16:00:00,147.48,149.83,146.54,149.01,22250954
1/28/2019 16:00:00,148.05,148.96,146.21,147.47,15508483
1/29/2019 16:00:00,148.09,148.1,143.43,144.19,17631953
1/30/2019 16:00:00,146.22,150.95,145.7,150.42,44613240
1/31/2019 16:00:00,165.6,171.68,165,166.69,77233602
2/1/2019 16:00:00,165.84,169.1,165.66,165.71,30806513
2/4/2019 16:00:00,165.7,169.3,163.62,169.25,20036470
2/5/2019 16:00:00,169.15,171.98,168.69,171.16,22556985
2/6/2019 16:00:00,171.2,172.47,169.27,170.49,13281161
2/7/2019 16:00:00,168.2,169.24,165.25,166.38,17517609
2/8/2019 16:00:00,164.47,167.37,164.21,167.33,12561422
2/11/2019 16:00:00,167.9,168.3,165.08,165.79,12811176
2/12/2019 16:00:00,166.86,168.34,164.5,165.04,16292290
2/13/2019 16:00:00,165.38,166.22,163.73,164.07,14205146
2/14/2019 16:00:00,163.19,164.87,162.25,163.95,12755151
2/15/2019 16:00:00,164.51,164.7,160.86,162.5,15504415
2/19/2019 16:00:00,160.5,164.15,160.33,162.29,14345390
2/20/2019 16:00:00,162.25,163.72,161.25,162.56,11770692
2/21/2019 16:00:00,161.93,162.24,159.59,160.04,15607828
2/22/2019 16:00:00,160.58,162.41,160.31,161.89,15858468
2/25/2019 16:00:00,163.07,166.07,162.9,164.62,18737106
2/26/2019 16:00:00,164.34,166.24,163.8,164.13,13784063
2/27/2019 16:00:00,162.9,163.93,160.41,162.81,12697485
2/28/2019 16:00:00,162.37,163.5,160.86,161.45,11114185
3/1/2019 16:00:00,162.6,163.13,161.69,162.28,11097770
3/4/2019 16:00:00,163.9,167.5,163.83,167.37,18894689
3/5/2019 16:00:00,167.37,171.88,166.55,171.26,28187890
3/6/2019 16:00:00,172.9,173.57,171.27,172.51,21531723
3/7/2019 16:00:00,171.5,171.74,167.61,169.13,18306504
3/8/2019 16:00:00,166.2,169.62,165.97,169.6,13184831
3/11/2019 16:00:00,171.6,174.3,171.58,172.07,18883983
3/12/2019 16:00:00,172.09,173.8,171.22,171.92,12155264
3/13/2019 16:00:00,172.32,174.03,172.12,173.37,11973280
3/14/2019 16:00:00,169.76,171.15,168.16,170.17,18037364
3/15/2019 16:00:00,167.16,167.58,162.51,165.98,37126000
3/18/2019 16:00:00,163.57,163.9,159.28,160.47,37524191
3/19/2019 16:00:00,161.48,163.82,160.82,161.57,25611488
3/20/2019 16:00:00,161.5,166.12,161.24,165.44,20211474
3/21/2019 16:00:00,164.89,166.39,163.75,166.08,16223007
3/22/2019 16:00:00,165.65,167.42,164.09,164.34,16389185
3/25/2019 16:00:00,163,166.54,162,166.29,12631230
3/26/2019 16:00:00,167.35,169.45,166.35,167.68,15437920
3/27/2019 16:00:00,167.85,168.94,164.79,165.87,10620299
3/28/2019 16:00:00,164.57,166.72,163.33,165.55,10689171
3/29/2019 16:00:00,166.39,167.19,164.81,166.69,13455454
